,State
0,Arkansas
1,California
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,Nevada
25,New Hampshire
26,New Jersey
27,New Mexico
28,New York
29,North Carolina
30,North Dakota
31,Ohio
32,Oklahoma
33,Oregon
34,Pennsylvania
35,Rhode Island
36,South Carolina
37,South Dakota
38,Tennessee
39,Utah
40,Vermont
41,Virginia
42,Washington
43,West Virginia
44,Wisconsin
45,Wyoming
